,0,1,2
0,"RT @sunilkapoor8: @ramesh_sbisht Just spoke with the patient,will get all help. Message gone to dr nd #Hospital
@NACoTweets #HIV #AIDS",Twitter for Android,http://twitter.com/download/android
1,"Happy to present you a design for Medical #CRM System.
Here you can not only chat with the patients and provide the… https://t.co/DPhzrl55VY",TweetDeck,https://about.twitter.com/products/tweetdeck
2,"Key stats highlighting the impact of the pandemic on #hospital care for people with #dementia. 
The in-depth report… https://t.co/ew36bdOEIp",Hootsuite Inc.,https://www.hootsuite.com
3,"As the #COVID19 pandemic continues to spread across #India, people are increasingly preferring #online consultation… https://t.co/nux6guiSvH",LinkedIn,http://www.linkedin.com/
4,"Our action are our Future !

#WorldFoodDay #Dhanvantri #hospital #BestHospitalInKanpur https://t.co/YG2fkXfEsJ",Twitter for Android,http://twitter.com/download/android
5,New #job: Outpatients Administrator Location: Exeter Salary: £17062.50pa - £17550pa ..  #hospital #admin #administrator #parttime #job,Adcourier,http://www.broadbean.com
6,"Free Eye Screening Camp held at ""Biyarai"" Dir Lower.
Eye specialists are being examining patients in the pictures… https://t.co/JhCKNzpiUX",Twitter Web App,https://mobile.twitter.com
7,"#BizOpps: Prepared #foods for #hospital sought in Panama

Closes 26/11/2020

Enquiries: https://t.co/gMFHyYObvf… https://t.co/UvWRvUE3vc",TweetDeck,https://about.twitter.com/products/tweetdeck
8,"Free Eye Screening Camp held at ""Biyarai"" Dir Lower.
Eye specialists are being examining patients in the pictures… https://t.co/17coBIGoKK",Twitter Web App,https://mobile.twitter.com
9,"By applying Botox to the dynamic muscles of the face, the activity of mimic muscles is reduced. If you want to lear… https://t.co/XW5A4J1zxf",Twitter for Android,http://twitter.com/download/android
10,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter Web App,https://mobile.twitter.com
11,"RT @_mdoc: If you need emergency care, please visit our online health directory at https://t.co/m6IYqmEV0D to find the nearest #emergency r…",Twitter for Android,http://twitter.com/download/android
12,"New research shows risk in healthcare supply chain 
More findings, impact is massive.
Digital transformation is ham… https://t.co/y5oALSSnnC",Hootsuite Inc.,https://www.hootsuite.com
13,"RT @AnimalDefenders: Zeus has been taken to #hospital. He was having difficulty getting up, &amp; unsteady when he walked. After x-rays &amp; tests…",Twitter for iPhone,http://twitter.com/download/iphone
14,#Trump To Hold #Wisconsin Rally 3 Days After State Opens COVID-19 Field #Hospital - Oct 16 @ 4:25 AM ET https://t.co/xpFh7mYYIc,PulpNews,http://pulpnews.com
15,RT @MSEHospitals: We have #SpeakUpGuardians for each of our hospital sites. Here is Jacquie Pamphilon for #Southend and #Basildon #Hospital…,Twitter for iPhone,http://twitter.com/download/iphone
16,"Have all hospitals closed their restaurants to the public @Beaumont_Dublin @MaterDublin @stjamesdublin ,Connolly ho… https://t.co/nQxVDbMoKW",Twitter for Android,http://twitter.com/download/android
17,RT @HealthWWBerks: CQC says pandemic risks turning faultlines in England’s health services into ‘chasms’ :-https://t.co/lq9XPzyTqQ. @WBCEco…,Hopscotch Social,https://hopscotch.social/
18,"RT @LivHospitals: Congratulations to Edna Panambo, Senior A&amp;E Sister at the Royal #Hospital winner of @theRCN Outstanding Contribution to E…",Twitter for Android,http://twitter.com/download/android
19,"RT @AnimalDefenders: Zeus has been taken to #hospital. He was having difficulty getting up, &amp; unsteady when he walked. After x-rays &amp; tests…",Twitter for Android,http://twitter.com/download/android
20,"#telemedicineappdevelopmentsolutions in #Africa #Ghana 
call +18444455767 https://t.co/19f7dZ1yHb
#Telemedicine… https://t.co/CWOjAvdDFm",Twitter Web App,https://mobile.twitter.com
21,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for Android,http://twitter.com/download/android
22,Chinese city's Covid-19 cluster due to improper hospital disinfection #Chinesecity #Covid19 #hospital https://t.co/fomt4Rnmaz,Hocalwire Social Share,https://hocalwire.com
23,"#Newborn #girl was declared dead by #doctors of a state #hospital in #Dhaka #Bangladesh, found alive minutes before… https://t.co/LdgyM8t3SE",Twitter Web App,https://mobile.twitter.com
24,"RT @LivHospitals: Congratulations to Edna Panambo, Senior A&amp;E Sister at the Royal #Hospital winner of @theRCN Outstanding Contribution to E…",Twitter Web App,https://mobile.twitter.com
25,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Tweet Good,https://sootigaa.com
26,5 mistakes to avoid when buying healthcare furniture https://t.co/5jXzB6W4HR #healthcare #furniture #hospital… https://t.co/UHyzrTMrgK,MeetEdgar,http://meetedgar.com
27,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for iPhone,http://twitter.com/download/iphone
28,"Illness is not simply a problem in an isolated physiological body part.  Rather, its a problem with the whole embod… https://t.co/SUr6wfzfed",Twitter for Android,http://twitter.com/download/android
29,RT @FullThrottleeee: #Karen Screams at cops to arrest someone... #MeltDown #MAGA2020 #TrumpsSheep    #KarensGoneWild #Karenstrikesagain #ho…,Twitter for Android,http://twitter.com/download/android
30,"We all crave that fit body, but we are not following the right process. Drastically changing your diet is not going… https://t.co/4BtHo3C0EH",Twitter Web App,https://mobile.twitter.com
31,"RT @transplanthair5: Hair Transplant Before/After Gallery 
https://t.co/OtMUtaDlFm 
#haircare  #hairtransplant #transplanthair #walia #hosp…",Twitter Web App,https://mobile.twitter.com
32,RT @HealthWWBerks: CQC says pandemic risks turning faultlines in England’s health services into ‘chasms’ :-https://t.co/lq9XPzyTqQ. @WBCEco…,Twitter for Android,http://twitter.com/download/android
33,"RT @AGR_IISc: Our paper ""Redesign #COVID-19 ICUs to save #Corona warriors"" got the best paper #award in IEEE #Humanitarian #Technology Conf…",Twitter Web App,https://mobile.twitter.com
34,CQC says pandemic risks turning faultlines in England’s health services into ‘chasms’ :-https://t.co/lq9XPzyTqQ.… https://t.co/LRKP1VJtI4,Twitter Web App,https://mobile.twitter.com
35,"Hair Transplant Before/After Gallery 
https://t.co/OtMUtaDlFm 
#haircare  #hairtransplant #transplanthair #walia… https://t.co/GckYiZWbzi",Twitter Web App,https://mobile.twitter.com
36,@apollospectra high time that #hospital and #medicalschool start a course on professionalism to teach the doctors!!… https://t.co/PDao4EyCYo,Twitter for iPhone,http://twitter.com/download/iphone
37,RT ACLU Elections are decided by voters — and not just those who are willing to risk their health and safety to vot… https://t.co/DjYXKqCtrN,IFTTT,https://ifttt.com
38,"RT ACLU Urooj Alavi is an ICU nurse on the frontlines fighting COVID-19. While her husband is in detention, she is… https://t.co/OfE2OSaGP5",IFTTT,https://ifttt.com
39,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for Android,http://twitter.com/download/android
40,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for Android,http://twitter.com/download/android
41,RT @First4Lawyers: Patients at a #hospital in #England face even longer delays to #cancer treatment as transplants are stopped after three…,Twitter for Android,http://twitter.com/download/android
42,Buy or rental Medical Equipment at your doorstep at your convenience. Find more medical equipment for Respiratory C… https://t.co/Nqpc7j9WXG,Twitter for Android,http://twitter.com/download/android
43,". @Twinfix designed, manufactured and installed two fully-sealed link corridors with aluminium frame and squared po… https://t.co/ZtBGoychIy",TweetDeck,https://about.twitter.com/products/tweetdeck
44,"RT @drkmhpvtltd: World Spine Day 2020
#WorldSpineDay #worldspineday2020 #StandStraight #standtall #BackonTrack #spinehealth #spinalcord #sp…",Twitter Web App,https://mobile.twitter.com
45,Patients at a #hospital in #England face even longer delays to #cancer treatment as transplants are stopped after t… https://t.co/nuvZ3yPYkp,Sprout Social,https://sproutsocial.com
46,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter Web App,https://mobile.twitter.com
47,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for Android,http://twitter.com/download/android
48,"RT @AGR_IISc: Our paper ""Redesign #COVID-19 ICUs to save #Corona warriors"" got the best paper #award in IEEE #Humanitarian #Technology Conf…",Twitter Web App,https://mobile.twitter.com
49,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for Android,http://twitter.com/download/android
50,"RT @itskabhijeet: #Urgent #Bangalore #Oct16
#O+ve/Any blood donor 
#Hospital- Aster CMI hospital, new airport road,  after Hebbal
#Contact…",Twitter for Android,http://twitter.com/download/android
